time,signal
0.00,0.0
0.04,0.0
0.08,0.0
0.12,0.0
0.16,0.0
0.20,0.0
0.24,0.0
0.28,0.0
0.32,0.0
0.36,0.0
0.40,0.0
0.44,0.0
0.48,0.0
0.52,0.0
0.56,0.0
0.60,0.0
0.64,0.0
0.68,0.0
0.72,0.0
0.76,0.0
0.80,1.0
0.84,0.0
0.88,0.0
0.92,0.0
0.96,0.0
1.00,0.0
1.04,0.0
1.08,0.0
1.12,0.0
1.16,0.0
1.20,0.0
1.24,0.0
1.28,0.0
1.32,0.0
1.36,0.0
1.40,0.0
1.44,0.0
1.48,0.0
1.52,0.0
1.56,0.0
1.60,1.0
1.64,0.0
1.68,0.0
1.72,0.0
1.76,0.0
1.80,0.0
1.84,0.0
1.88,0.0
1.92,0.0
1.96,0.0
2.00,0.0
2.04,0.0
2.08,0.0
2.12,0.0
2.16,0.0
2.20,0.0
2.24,0.0
2.28,0.0
2.32,0.0
2.36,0.0
2.40,1.0
2.44,0.0
2.48,0.0
2.52,0.0
2.56,0.0
2.60,0.0
2.64,0.0
2.68,0.0
2.72,0.0
2.76,0.0
2.80,0.0
2.84,0.0
2.88,0.0
2.92,0.0
2.96,0.0
3.00,0.0
3.04,0.0
3.08,0.0
3.12,0.0
3.16,0.0
3.20,1.0
